Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
87,20,9,185,7,Some Random Commen with Id 87
88,20,9,39,7,Some Random Commen with Id 88
89,21,8,82,6,Some Random Commen with Id 89
90,21,8,66,3,Some Random Commen with Id 90
91,22,4,81,7,Some Random Commen with Id 91
92,22,4,43,9,Some Random Commen with Id 92
93,23,9,170,2,Some Random Commen with Id 93
94,23,9,171,4,Some Random Commen with Id 94
95,23,9,32,5,Some Random Commen with Id 95
96,23,9,147,8,Some Random Commen with Id 96
97,23,9,123,6,Some Random Commen with Id 97
98,23,9,177,0,Some Random Commen with Id 98
99,23,9,182,6,Some Random Commen with Id 99
100,23,9,157,3,Some Random Commen with Id 100
101,23,9,105,0,Some Random Commen with Id 101
102,24,7,75,8,Some Random Commen with Id 102
103,24,7,45,1,Some Random Commen with Id 103
104,25,7,162,2,Some Random Commen with Id 104
105,25,7,159,5,Some Random Commen with Id 105
106,25,7,50,4,Some Random Commen with Id 106
107,26,3,98,0,Some Random Commen with Id 107
108,26,3,163,1,Some Random Commen with Id 108
109,26,3,197,6,Some Random Commen with Id 109
110,26,3,76,3,Some Random Commen with Id 110
111,27,9,172,7,Some Random Commen with Id 111
112,27,9,105,9,Some Random Commen with Id 112
113,27,9,170,4,Some Random Commen with Id 113
114,27,9,19,1,Some Random Commen with Id 114
115,27,9,0,7,Some Random Commen with Id 115
116,27,9,96,7,Some Random Commen with Id 116
117,27,9,37,0,Some Random Commen with Id 117
118,27,9,28,1,Some Random Commen with Id 118
119,27,9,151,8,Some Random Commen with Id 119
120,28,3,173,7,Some Random Commen with Id 120
121,28,3,28,5,Some Random Commen with Id 121
122,29,7,146,3,Some Random Commen with Id 122
123,29,7,103,9,Some Random Commen with Id 123
124,29,7,141,2,Some Random Commen with Id 124
125,29,7,192,1,Some Random Commen with Id 125
126,29,7,80,7,Some Random Commen with Id 126
127,30,8,123,3,Some Random Commen with Id 127
128,30,8,156,2,Some Random Commen with Id 128
129,30,8,144,1,Some Random Commen with Id 129
130,30,8,194,9,Some Random Commen with Id 130
131,30,8,27,8,Some Random Commen with Id 131
132,30,8,103,4,Some Random Commen with Id 132
133,30,8,74,4,Some Random Commen with Id 133
134,31,4,164,2,Some Random Commen with Id 134
135,31,4,196,1,Some Random Commen with Id 135
136,31,4,86,3,Some Random Commen with Id 136
137,31,4,167,2,Some Random Commen with Id 137
138,31,4,80,5,Some Random Commen with Id 138
139,31,4,22,8,Some Random Commen with Id 139
140,32,6,16,2,Some Random Commen with Id 140
141,32,6,51,9,Some Random Commen with Id 141
142,32,6,163,9,Some Random Commen with Id 142
143,32,6,16,6,Some Random Commen with Id 143
144,32,6,71,2,Some Random Commen with Id 144
145,33,2,36,7,Some Random Commen with Id 145
146,33,2,146,5,Some Random Commen with Id 146
147,34,7,14,8,Some Random Commen with Id 147
148,35,6,164,7,Some Random Commen with Id 148
149,35,6,153,7,Some Random Commen with Id 149
150,35,6,102,8,Some Random Commen with Id 150
151,35,6,82,3,Some Random Commen with Id 151
152,35,6,17,3,Some Random Commen with Id 152
153,35,6,86,3,Some Random Commen with Id 153
154,36,3,34,0,Some Random Commen with Id 154
155,36,3,117,8,Some Random Commen with Id 155
156,36,3,168,1,Some Random Commen with Id 156
157,36,3,15,0,Some Random Commen with Id 157
158,36,3,177,0,Some Random Commen with Id 158
159,36,3,111,2,Some Random Commen with Id 159
160,36,3,64,0,Some Random Commen with Id 160
161,36,3,37,8,Some Random Commen with Id 161
162,37,0,32,3,Some Random Commen with Id 162
163,37,0,50,2,Some Random Commen with Id 163
164,37,0,107,4,Some Random Commen with Id 164
165,38,9,67,0,Some Random Commen with Id 165
166,38,9,170,8,Some Random Commen with Id 166
167,38,9,188,5,Some Random Commen with Id 167
168,39,3,18,5,Some Random Commen with Id 168
169,39,3,96,9,Some Random Commen with Id 169
170,39,3,165,7,Some Random Commen with Id 170
171,39,3,34,0,Some Random Commen with Id 171
